"name ","ref"
"Parroquia Humocaro Alto","res_country_state_municipalities_150"
"Parroquia Humocaro Bajo","res_country_state_municipalities_150"
"Parroquia La Candelaria","res_country_state_municipalities_150"
"Parroquia Morán","res_country_state_municipalities_150"
"Parroquia Cabudare","res_country_state_municipalities_151"
"Parroquia José Gregorio Bastidas","res_country_state_municipalities_151"
"Parroquia Agua Viva ","res_country_state_municipalities_151"
"Parroquia Sarare","res_country_state_municipalities_152"
"Parroquia Buría","res_country_state_municipalities_152"
"Parroquia Gustavo Vegas León","res_country_state_municipalities_152"
"Parroquia Trinidad Samuel","res_country_state_municipalities_153"
"Parroquia Antonio Díaz","res_country_state_municipalities_153"
"Parroquia Camacaro","res_country_state_municipalities_153"
"Parroquia Castañeda","res_country_state_municipalities_153"
"Parroquia Cecilio Zubillaga","res_country_state_municipalities_153"
"Parroquia Chiquinquirá","res_country_state_municipalities_153"
"Parroquia El Blanco","res_country_state_municipalities_153"
"Parroquia Espinoza de los Monteros","res_country_state_municipalities_153"
"Parroquia Lara","res_country_state_municipalities_153"
"Parroquia Las Mercedes","res_country_state_municipalities_153"
"Parroquia Manuel Morillo","res_country_state_municipalities_153"
"Parroquia Montaña Verde","res_country_state_municipalities_153"
"Parroquia Montes de Oca","res_country_state_municipalities_153"
"Parroquia Torres","res_country_state_municipalities_153"
"Parroquia Heriberto Arroyo ","res_country_state_municipalities_153"
"Parroquia Reyes Vargas","res_country_state_municipalities_153"
"Parroquia Altagracia ","res_country_state_municipalities_153"
"Parroquia Siquisique","res_country_state_municipalities_154"
"Parroquia Moroturo","res_country_state_municipalities_154"
"Parroquia San Miguel","res_country_state_municipalities_154"
"Parroquia Xaguas","res_country_state_municipalities_154"
"Parroquia Presidente Betancourt ","res_country_state_municipalities_155"
"Parroquia Presidente Páez  ","res_country_state_municipalities_155"
"Parroquia Presidente Rómulo Gallegos ","res_country_state_municipalities_155"
"Parroquia Gabriel Picón González","res_country_state_municipalities_155"
"Parroquia Héctor Amable Mora","res_country_state_municipalities_155"
"Parroquia José Nucete Sardi ","res_country_state_municipalities_155"
"Parroquia Pulido Méndez ","res_country_state_municipalities_155"
"Parroquia Capital Antonio Pinto Salinas  ","res_country_state_municipalities_157"
"Parroquia Mesa Bolívar","res_country_state_municipalities_157"
"Parroquia Mesa de Las Palmas","res_country_state_municipalities_157"
"Parroquia Capital Aricagua ","res_country_state_municipalities_158"
"Parroquia San Antonio ","res_country_state_municipalities_158"
"Parroquia Capital Arzobispo Chacón ","res_country_state_municipalities_159"
"Parroquia Capurí ","res_country_state_municipalities_159"
"Parroquia Chacantá ","res_country_state_municipalities_159"
"Parroquia El Molino ","res_country_state_municipalities_159"
"Parroquia Guaimaral ","res_country_state_municipalities_159"
"Parroquia Mucutuy","res_country_state_municipalities_159"
"Parroquia Mucuchachí","res_country_state_municipalities_159"
"Parroquia Fernández Peña ","res_country_state_municipalities_160"
"Parroquia Matriz","res_country_state_municipalities_160"
"Parroquia Montalbán","res_country_state_municipalities_160"
"Parroquia Acequias","res_country_state_municipalities_160"
"Parroquia Jají","res_country_state_municipalities_160"
"Parroquia La Mesa","res_country_state_municipalities_160"
"Parroquia San José del Sur","res_country_state_municipalities_160"
"Parroquia Capital Caracciolo Parra Olmedo ","res_country_state_municipalities_161"
"Parroquia Florencio Ramírez ","res_country_state_municipalities_161"
"Parroquia Capital Cardenal Quintero ","res_country_state_municipalities_162"
"Parroquia Las Piedras","res_country_state_municipalities_162"
"Parroquia Capital Guaraque ","res_country_state_municipalities_163"
"Parroquia Mesa de Quintero ","res_country_state_municipalities_163"
"Parroquia Río Negro ","res_country_state_municipalities_163"
"Parroquia Capital Julio César Salas ","res_country_state_municipalities_164"
"Parroquia Palmira ","res_country_state_municipalities_164"
"Parroquia Capital Justo Briceño ","res_country_state_municipalities_165"
"Parroquia San Cristóbal de Torondoy","res_country_state_municipalities_165"
"Parroquia Antonio Spinetti Dini ","res_country_state_municipalities_166"
"Parroquia Arias","res_country_state_municipalities_166"
"Parroquia Caracciolo Parra Pérez ","res_country_state_municipalities_166"
"Parroquia Domingo Peña ","res_country_state_municipalities_166"
"Parroquia El Llano","res_country_state_municipalities_166"
"Parroquia Gonzalo Picón Febres ","res_country_state_municipalities_166"
"Parroquia Jacinto Plaza ","res_country_state_municipalities_166"
"Parroquia Juan Rodríguez Suárez","res_country_state_municipalities_166"
"Parroquia Lasso de la Vega ","res_country_state_municipalities_166"
"Parroquia Mariano Picón Salas ","res_country_state_municipalities_166"
"Parroquia Milla","res_country_state_municipalities_166"
"Parroquia Osuna Rodríguez ","res_country_state_municipalities_166"
"Parroquia Sagrario","res_country_state_municipalities_166"
"Parroquia El Morro","res_country_state_municipalities_166"
"Parroquia Los Nevados ","res_country_state_municipalities_166"
"Parroquia Capital Miranda ","res_country_state_municipalities_167"
"Parroquia Andrés Eloy Blanco","res_country_state_municipalities_167"
"Parroquia La Venta","res_country_state_municipalities_167"
"Parroquia Piñango ","res_country_state_municipalities_167"
"Parroquia Capital Obispo Ramos de Lora ","res_country_state_municipalities_168"
"Parroquia Eloy Paredes","res_country_state_municipalities_168"
"Parroquia San Rafael de Alcázar ","res_country_state_municipalities_168"
"Parroquia Capital Rangel ","res_country_state_municipalities_171"
"Parroquia Cacute ","res_country_state_municipalities_171"
"Parroquia La Toma","res_country_state_municipalities_171"
"Parroquia Mucurubá","res_country_state_municipalities_171"
"Parroquia San Rafael","res_country_state_municipalities_171"
"Parroquia Capital Rivas Dávila ","res_country_state_municipalities_172"
"Parroquia Gerónimo Maldonado","res_country_state_municipalities_172"
"Parroquia Capital Sucre ","res_country_state_municipalities_174"
"Parroquia Chiguará","res_country_state_municipalities_174"
"Parroquia Estánquez","res_country_state_municipalities_174"
"Parroquia La Trampa","res_country_state_municipalities_174"
"Parroquia Pueblo Nuevo del Sur ","res_country_state_municipalities_174"
"Parroquia San Juan","res_country_state_municipalities_174"
"Parroquia El Amparo","res_country_state_municipalities_175"
"Parroquia El Llano","res_country_state_municipalities_175"
"Parroquia San Francisco","res_country_state_municipalities_175"
"Parroquia Tovar","res_country_state_municipalities_175"
"Parroquia Capital Tulio Febres Cordero ","res_country_state_municipalities_176"
"Parroquia Independencia","res_country_state_municipalities_176"
"Parroquia María de la Concepción Palacios Blanco","res_country_state_municipalities_176"
"Parroquia Santa Apolonia","res_country_state_municipalities_176"
"Parroquia Capital Zea ","res_country_state_municipalities_177"
"Parroquia Caño El Tigre ","res_country_state_municipalities_177"
"Parroquia Caucagua","res_country_state_municipalities_178"
"Parroquia Aragüita","res_country_state_municipalities_178"
"Parroquia Arévalo González","res_country_state_municipalities_178"
"Parroquia Capaya","res_country_state_municipalities_178"
"Parroquia El Café","res_country_state_municipalities_178"
"Parroquia Marizapa","res_country_state_municipalities_178"
"Parroquia Panaquire","res_country_state_municipalities_178"
"Parroquia Ribas","res_country_state_municipalities_178"
"Parroquia San José de Barlovento","res_country_state_municipalities_179"
"Parroquia Cumbo","res_country_state_municipalities_179"
"Parroquia Baruta","res_country_state_municipalities_180"
"Parroquia El Cafetal","res_country_state_municipalities_180"
"Parroquia Las Minas de Baruta","res_country_state_municipalities_180"
"Parroquia Higuerote","res_country_state_municipalities_181"
"Parroquia Curiepe","res_country_state_municipalities_181"
"Parroquia Tacarigua","res_country_state_municipalities_181"
"Parroquia Mamporal","res_country_state_municipalities_182"
"Parroquia Carrizal","res_country_state_municipalities_183"
"Parroquia Chacao","res_country_state_municipalities_184"
"Parroquia Charallave","res_country_state_municipalities_185"
"Parroquia Las Brisas ","res_country_state_municipalities_185"
"Parroquia El Hatillo","res_country_state_municipalities_186"
"Parroquia Los Teques","res_country_state_municipalities_187"
"Parroquia Altagracia de La Montaña ","res_country_state_municipalities_187"
"Parroquia Cecilio Acosta","res_country_state_municipalities_187"
"Parroquia El Jarillo ","res_country_state_municipalities_187"
"Parroquia Paracotos","res_country_state_municipalities_187"
"Parroquia San Pedro","res_country_state_municipalities_187"
"Parroquia Tácata","res_country_state_municipalities_187"
"Parroquia Santa Teresa del Tuy","res_country_state_municipalities_188"
"Parroquia El Cartanal/","res_country_state_municipalities_188"
"Parroquia Ocumare del Tuy","res_country_state_municipalities_189"
"Parroquia La Democracia","res_country_state_municipalities_189"
"Parroquia Santa Bárbara","res_country_state_municipalities_189"
"Parroquia San Antonio de Los Altos","res_country_state_municipalities_190"
"Parroquia Río Chico","res_country_state_municipalities_191"
"Parroquia El Guapo","res_country_state_municipalities_191"
"Parroquia Tacarigua de La Laguna","res_country_state_municipalities_191"
"Parroquia Paparo ","res_country_state_municipalities_191"
"Parroquia San Fernando del Guapo","res_country_state_municipalities_191"
"Parroquia Santa Lucía","res_country_state_municipalities_192"
"Parroquia Cúpira","res_country_state_municipalities_193"
"Parroquia Machurucuto","res_country_state_municipalities_193"
"Parroquia Guarenas","res_country_state_municipalities_194"
"Parroquia San Francisco de Yare","res_country_state_municipalities_195"
"Parroquia San Antonio de Yare","res_country_state_municipalities_195"
"Parroquia Petare","res_country_state_municipalities_196"
"Parroquia Caucagüita","res_country_state_municipalities_196"
"Parroquia Fila de Mariches","res_country_state_municipalities_196"
"Parroquia La Dolorita","res_country_state_municipalities_196"
"Parroquia Leoncio Martínez","res_country_state_municipalities_196"
"Parroquia Cúa","res_country_state_municipalities_197"
"Parroquia Nueva Cúa ","res_country_state_municipalities_197"
"Parroquia Guatire","res_country_state_municipalities_198"
"Parroquia Bolívar","res_country_state_municipalities_198"
"Parroquia Capital Acosta  ","res_country_state_municipalities_201"
"Parroquia San Francisco","res_country_state_municipalities_201"
"Parroquia Capital Caripe ","res_country_state_municipalities_204"
"Parroquia El Guácharo","res_country_state_municipalities_204"
"Parroquia La Guanota","res_country_state_municipalities_204"
"Parroquia Sabana de Piedra","res_country_state_municipalities_204"
"Parroquia San Agustín","res_country_state_municipalities_204"
"Parroquia Teresén","res_country_state_municipalities_204"
"Parroquia Capital Cedeño ","res_country_state_municipalities_205"
"Parroquia Areo","res_country_state_municipalities_205"
"Parroquia San Félix","res_country_state_municipalities_205"
"Parroquia Viento Fresco","res_country_state_municipalities_205"
"Parroquia Capital Ezequiel Zamora ","res_country_state_municipalities_206"
"Parroquia El Tejero","res_country_state_municipalities_206"
"Parroquia Capital Libertador ","res_country_state_municipalities_207"
"Parroquia Chaguaramas","res_country_state_municipalities_207"
"Parroquia Las Alhuacas","res_country_state_municipalities_207"
"Parroquia Tabasca","res_country_state_municipalities_207"
"Parroquia Capital Maturín ","res_country_state_municipalities_208"
"Parroquia Alto de los Godos","res_country_state_municipalities_208"
"Parroquia Boquerón","res_country_state_municipalities_208"
"Parroquia Las Cocuizas","res_country_state_municipalities_208"
"Parroquia San Simón","res_country_state_municipalities_208"
"Parroquia Santa Cruz","res_country_state_municipalities_208"
"Parroquia El Corozo","res_country_state_municipalities_208"
"Parroquia El Furrial","res_country_state_municipalities_208"
"Parroquia Jusepín","res_country_state_municipalities_208"
"Parroquia La Pica","res_country_state_municipalities_208"
"Parroquia San Vicente","res_country_state_municipalities_208"
"Parroquia Capital Piar ","res_country_state_municipalities_209"
"Parroquia Aparicio","res_country_state_municipalities_209"
"Parroquia Chaguaramal","res_country_state_municipalities_209"
"Parroquia El Pinto","res_country_state_municipalities_209"
"Parroquia Guanaguana","res_country_state_municipalities_209"
"Parroquia La Toscana","res_country_state_municipalities_209"
"Parroquia Taguaya","res_country_state_municipalities_209"
"Parroquia Capital Punceres ","res_country_state_municipalities_210"
"Parroquia Cachipo","res_country_state_municipalities_210"
"Parroquia Capital Sotillo ","res_country_state_municipalities_212"
"Parroquia Los Barrancos de Fajardo","res_country_state_municipalities_212"
"Parroquia Capital Díaz ","res_country_state_municipalities_216"
"Parroquia Zabala","res_country_state_municipalities_216"
"Parroquia Capital García ","res_country_state_municipalities_217"
"Parroquia Francisco Fajardo","res_country_state_municipalities_217"
"Parroquia Capital Gómez ","res_country_state_municipalities_218"
"Parroquia Bolívar","res_country_state_municipalities_218"
"Parroquia Guevara","res_country_state_municipalities_218"
"Parroquia Matasiete","res_country_state_municipalities_218"
"Parroquia Sucre","res_country_state_municipalities_218"
"Parroquia Capital Maneiro ","res_country_state_municipalities_219"
"Parroquia Aguirre","res_country_state_municipalities_219"
"Parroquia Capital Marcano ","res_country_state_municipalities_220"
"Parroquia Adrián","res_country_state_municipalities_220"
"Parroquia Capital Península de Macanao ","res_country_state_municipalities_222"
"Parroquia San Francisco","res_country_state_municipalities_222"
"Parroquia Capital Tubores ","res_country_state_municipalities_223"
"Parroquia Los Barales","res_country_state_municipalities_223"
"Parroquia Capital Villalba ","res_country_state_municipalities_224"
"Parroquia Vicente Fuentes","res_country_state_municipalities_224"
"Parroquia Capital Araure ","res_country_state_municipalities_226"
"Parroquia Río Acarigua","res_country_state_municipalities_226"
"Parroquia Capital Esteller ","res_country_state_municipalities_227"
"Parroquia Uveral","res_country_state_municipalities_227"
"Parroquia Capital Guanare ","res_country_state_municipalities_228"
"Parroquia Córdoba","res_country_state_municipalities_228"
"Parroquia San José de la Montaña","res_country_state_municipalities_228"
"Parroquia San Juan de Guanaguanare","res_country_state_municipalities_228"
"Parroquia Virgen de la Coromoto","res_country_state_municipalities_228"
"Parroquia Capital Guanarito ","res_country_state_municipalities_229"
"Parroquia Trinidad de la Capilla","res_country_state_municipalities_229"
"Parroquia Divina Pastora","res_country_state_municipalities_229"
"Parroquia Capital Mons.José Vicente de Unda ","res_country_state_municipalities_230"
"Parroquia Peña Blanca ","res_country_state_municipalities_230"
"Parroquia Capital Ospino ","res_country_state_municipalities_231"
"Parroquia Aparición","res_country_state_municipalities_231"
"Parroquia La Estación","res_country_state_municipalities_231"
"Parroquia Capital Páez ","res_country_state_municipalities_232"
"Parroquia Payara","res_country_state_municipalities_232"
"Parroquia Pimpinela","res_country_state_municipalities_232"
"Parroquia Ramón Peraza ","res_country_state_municipalities_232"
"Parroquia Capital Papelón ","res_country_state_municipalities_233"
"Parroquia Caño Delgadito","res_country_state_municipalities_233"
"Parroquia Capital San Genaro de Boconoito ","res_country_state_municipalities_234"
"Parroquia Antolín Tovar","res_country_state_municipalities_234"
"Parroquia Capital San Rafael de Onoto ","res_country_state_municipalities_235"
"Parroquia Santa Fe ","res_country_state_municipalities_235"
"Parroquia Thermo Morles ","res_country_state_municipalities_235"
"Parroquia Capital Santa Rosalía ","res_country_state_municipalities_236"
"Parroquia Florida","res_country_state_municipalities_236"
"Parroquia Capital Sucre ","res_country_state_municipalities_237"
"Parroquia Concepción","res_country_state_municipalities_237"
"Parroquia San Rafael de Palo Alzado","res_country_state_municipalities_237"
"Parroquia Uvencio Antonio Velásquez","res_country_state_municipalities_237"
"Parroquia San José de Saguaz ","res_country_state_municipalities_237"
"Parroquia Villa Rosa","res_country_state_municipalities_237"
"Parroquia Capital Turén ","res_country_state_municipalities_238"
"Parroquia Canelones","res_country_state_municipalities_238"
"Parroquia Santa Cruz","res_country_state_municipalities_238"
"Parroquia San Isidro Labrador","res_country_state_municipalities_238"
"Parroquia Mariño","res_country_state_municipalities_239"
"Parroquia Rómulo Gallegos","res_country_state_municipalities_239"
"Parroquia San José de Aerocuar","res_country_state_municipalities_240"
"Parroquia Tavera Acosta","res_country_state_municipalities_240"
"Parroquia Río Caribe","res_country_state_municipalities_241"
"Parroquia Antonio José de Sucre","res_country_state_municipalities_241"
"Parroquia El Morro de Puerto Santo","res_country_state_municipalities_241"
"Parroquia Puerto Santo","res_country_state_municipalities_241"
"Parroquia San Juan de Las Galdonas","res_country_state_municipalities_241"
"Parroquia El Pilar","res_country_state_municipalities_242"
"Parroquia El Rincón","res_country_state_municipalities_242"
"Parroquia General Francisco Antonio Vásquez","res_country_state_municipalities_242"
"Parroquia Guaraúnos","res_country_state_municipalities_242"
"Parroquia Tunapuicito","res_country_state_municipalities_242"
"Parroquia Unión","res_country_state_municipalities_242"
"Parroquia Bolívar ","res_country_state_municipalities_243"
"Parroquia Macarapana","res_country_state_municipalities_243"
"Parroquia Santa Catalina","res_country_state_municipalities_243"
"Parroquia Santa Rosa","res_country_state_municipalities_243"
"Parroquia Santa Teresa","res_country_state_municipalities_243"
"Parroquia Yaguaraparo","res_country_state_municipalities_244"
"Parroquia El Paujil","res_country_state_municipalities_244"
"Parroquia Libertad","res_country_state_municipalities_244"
"Parroquia Araya","res_country_state_municipalities_245"
"Parroquia Chacopata","res_country_state_municipalities_245"
"Parroquia Manicuare","res_country_state_municipalities_245"
"Parroquia Tunapuy","res_country_state_municipalities_246"
"Parroquia Campo Elías","res_country_state_municipalities_246"
"Parroquia Irapa","res_country_state_municipalities_247"
"Parroquia Campo Claro","res_country_state_municipalities_247"
"Parroquia Marabal","res_country_state_municipalities_247"
"Parroquia San Antonio de Irapa","res_country_state_municipalities_247"
"Parroquia Soro","res_country_state_municipalities_247"
"Parroquia Cumanacoa","res_country_state_municipalities_249"
"Parroquia Arenas","res_country_state_municipalities_249"
"Parroquia Aricagua","res_country_state_municipalities_249"
"Parroquia Cocollar","res_country_state_municipalities_249"
"Parroquia San Fernando","res_country_state_municipalities_249"
"Parroquia San Lorenzo","res_country_state_municipalities_249"
"Parroquia Villa Frontado (Muelle de Cariaco)","res_country_state_municipalities_250"
"Parroquia Catuaro","res_country_state_municipalities_250"
"Parroquia Rendón","res_country_state_municipalities_250"
"Parroquia Santa Cruz","res_country_state_municipalities_250"
"Parroquia Santa María","res_country_state_municipalities_250"
"Parroquia Altagracia","res_country_state_municipalities_251"
"Parroquia Ayacucho","res_country_state_municipalities_251"
"Parroquia Santa Inés","res_country_state_municipalities_251"
"Parroquia Valentín Valiente","res_country_state_municipalities_251"
"Parroquia San Juan","res_country_state_municipalities_251"
"Parroquia Raúl Leoni","res_country_state_municipalities_251"
"Parroquia Gran Mariscal  ","res_country_state_municipalities_251"
"Parroquia Güiria","res_country_state_municipalities_252"
"Parroquia Bideau","res_country_state_municipalities_252"
"Parroquia Cristóbal Colón","res_country_state_municipalities_252"
"Parroquia Punta de Piedras","res_country_state_municipalities_252"
"Parroquia Ayacucho ","res_country_state_municipalities_256"
"Parroquia Rivas Berti","res_country_state_municipalities_256"
"Parroquia San Pedro del Río","res_country_state_municipalities_256"
"Parroquia Bolívar ","res_country_state_municipalities_257"
"Parroquia Palotal","res_country_state_municipalities_257"
"Parroquia Juan Vicente Gómez ","res_country_state_municipalities_257"
"Parroquia Isaías Medina Angarita","res_country_state_municipalities_257"
"Parroquia Cárdenas ","res_country_state_municipalities_258"
"Parroquia Amenodoro Rangel Lamús","res_country_state_municipalities_258"
"Parroquia La Florida","res_country_state_municipalities_258"
"Parroquia Fernández Feo ","res_country_state_municipalities_260"
"Parroquia Alberto Adriani","res_country_state_municipalities_260"
"Parroquia Santo Domingo","res_country_state_municipalities_260"
"Parroquia García de Hevia ","res_country_state_municipalities_262"
"Parroquia Boca de Grita","res_country_state_municipalities_262"
"Parroquia José Antonio Páez","res_country_state_municipalities_262"
"Parroquia Independencia ","res_country_state_municipalities_265"
"Parroquia Juan Germán Roscio","res_country_state_municipalities_265"
"Parroquia Román Cárdenas","res_country_state_municipalities_265"
"Parroquia Jáuregui ","res_country_state_municipalities_266"
"Parroquia Emilio Constantino Guerrero","res_country_state_municipalities_266"
"Parroquia Monseñor Miguel Antonio Salas ","res_country_state_municipalities_266"
"Parroquia Junín ","res_country_state_municipalities_267"
"Parroquia La Petrólea","res_country_state_municipalities_267"
"Parroquia Quinimarí ","res_country_state_municipalities_267"
"Parroquia Bramón","res_country_state_municipalities_267"
"Parroquia Libertad ","res_country_state_municipalities_268"
"Parroquia Cipriano Castro","res_country_state_municipalities_268"
"Parroquia Manuel Felipe Rugeles ","res_country_state_municipalities_268"
"Parroquia Libertador ","res_country_state_municipalities_269"
"Parroquia Don Emeterio Ochoa ","res_country_state_municipalities_269"
"Parroquia Doradas","res_country_state_municipalities_269"
"Parroquia San Joaquín de Navay","res_country_state_municipalities_269"
"Parroquia Lobatera ","res_country_state_municipalities_270"
"Parroquia Constitución","res_country_state_municipalities_270"
"Parroquia Panamericano ","res_country_state_municipalities_282"
"Parroquia La Palmita","res_country_state_municipalities_282"
"Parroquia Pedro María Ureña ","res_country_state_municipalities_272"
"Parroquia Nueva Arcadia","res_country_state_municipalities_272"
"Parroquia Samuel Darío Maldonado ","res_country_state_municipalities_274"
"Parroquia Boconó","res_country_state_municipalities_274"
"Parroquia Hernández","res_country_state_municipalities_274"
"Parroquia La Concordia","res_country_state_municipalities_275"
"Parroquia Pedro María Morantes","res_country_state_municipalities_275"
"Parroquia San Juan Bautista","res_country_state_municipalities_275"
"Parroquia San Sebastián","res_country_state_municipalities_275"
"Parroquia Dr. Francisco Romero Lobo","res_country_state_municipalities_275"
"Parroquia Sucre","res_country_state_municipalities_278"
"Parroquia Eleazar López Contreras","res_country_state_municipalities_278"
"Parroquia San Pablo","res_country_state_municipalities_278"
"Parroquia  Uribante ","res_country_state_municipalities_280"
"Parroquia Cárdenas","res_country_state_municipalities_280"
"Parroquia Juan Pablo Peñaloza ","res_country_state_municipalities_280"
"Parroquia Potosí","res_country_state_municipalities_280"
"Parroquia Santa Isabel ","res_country_state_municipalities_301"
"Parroquia Araguaney ","res_country_state_municipalities_301"
"Parroquia El Jagüito","res_country_state_municipalities_301"
"Parroquia La Esperanza ","res_country_state_municipalities_301"
"Parroquia Boconó","res_country_state_municipalities_302"
"Parroquia El Carmen","res_country_state_municipalities_302"
"Parroquia Mosquey","res_country_state_municipalities_302"
"Parroquia Ayacucho","res_country_state_municipalities_302"
"Parroquia Burbusay","res_country_state_municipalities_302"
"Parroquia General Rivas","res_country_state_municipalities_302"
"Parroquia Guaramacal","res_country_state_municipalities_302"
"Parroquia Vega de Guaramacal ","res_country_state_municipalities_302"
"Parroquia Monseñor Jáuregui","res_country_state_municipalities_302"
"Parroquia Rafael Rangel","res_country_state_municipalities_302"
"Parroquia San Miguel","res_country_state_municipalities_302"
"Parroquia San José","res_country_state_municipalities_302"
"Parroquia Sabana Grande","res_country_state_municipalities_303"
"Parroquia Cheregüé ","res_country_state_municipalities_303"
"Parroquia Granados","res_country_state_municipalities_303"
"Parroquia Chejendé","res_country_state_municipalities_304"
"Parroquia Arnoldo Gabaldón","res_country_state_municipalities_304"
"Parroquia Bolivia","res_country_state_municipalities_304"
"Parroquia Carrillo","res_country_state_municipalities_304"
"Parroquia Cegarra","res_country_state_municipalities_304"
"Parroquia Manuel Salvador Ulloa","res_country_state_municipalities_304"
"Parroquia San José","res_country_state_municipalities_304"
"Parroquia Carache","res_country_state_municipalities_305"
"Parroquia Cuicas","res_country_state_municipalities_305"
"Parroquia La Concepción","res_country_state_municipalities_305"
"Parroquia Panamericana ","res_country_state_municipalities_305"
"Parroquia Santa Cruz","res_country_state_municipalities_305"
"Parroquia Escuque","res_country_state_municipalities_306"
"Parroquia La Unión","res_country_state_municipalities_306"
"Parroquia Sabana Libre","res_country_state_municipalities_306"
"Parroquia Santa Rita","res_country_state_municipalities_306"
"Parroquia El Socorro ","res_country_state_municipalities_307"
"Parroquia Antonio José de Sucre ","res_country_state_municipalities_307"
"Parroquia Los Caprichos","res_country_state_municipalities_307"
"Parroquia Campo Elías ","res_country_state_municipalities_308"
"Parroquia Arnoldo Gabaldón","res_country_state_municipalities_308"
"Parroquia Santa Apolonia ","res_country_state_municipalities_309"
"Parroquia El Progreso  ","res_country_state_municipalities_309"
"Parroquia La Ceiba  ","res_country_state_municipalities_309"
"Parroquia Tres de Febrero  ","res_country_state_municipalities_309"
"Parroquia El Dividive","res_country_state_municipalities_310"
"Parroquia Agua Santa","res_country_state_municipalities_310"
"Parroquia Agua Caliente","res_country_state_municipalities_310"
"Parroquia El Cenizo","res_country_state_municipalities_310"
"Parroquia Valerita ","res_country_state_municipalities_310"
"Parroquia Monte Carmelo","res_country_state_municipalities_311"
"Parroquia Buena Vista","res_country_state_municipalities_311"
"Parroquia Santa María del Horcón ","res_country_state_municipalities_311"
"Parroquia Motatán","res_country_state_municipalities_312"
"Parroquia El Baño","res_country_state_municipalities_312"
"Parroquia Jalisco","res_country_state_municipalities_312"
"Parroquia Pampán","res_country_state_municipalities_313"
"Parroquia Flor de Patria","res_country_state_municipalities_313"
"Parroquia La Paz","res_country_state_municipalities_313"
"Parroquia Santa Ana","res_country_state_municipalities_313"
"Parroquia Pampanito","res_country_state_municipalities_314"
"Parroquia La Concepción ","res_country_state_municipalities_314"
"Parroquia Pampanito II ","res_country_state_municipalities_314"
"Parroquia Betijoque","res_country_state_municipalities_315"
"Parroquia La Pueblita","res_country_state_municipalities_315"
"Parroquia Los Cedros ","res_country_state_municipalities_315"
"Parroquia José Gregorio Hernández","res_country_state_municipalities_315"
"Parroquia Carvajal","res_country_state_municipalities_316"
"Parroquia Antonio Nicolás Briceño","res_country_state_municipalities_316"
"Parroquia Campo Alegre ","res_country_state_municipalities_316"
"Parroquia José Leonardo Suárez","res_country_state_municipalities_316"
"Parroquia Sabana de Mendoza","res_country_state_municipalities_317"
"Parroquia El Paraíso","res_country_state_municipalities_317"
"Parroquia Junín","res_country_state_municipalities_317"
"Parroquia Valmore Rodríguez","res_country_state_municipalities_317"
"Parroquia Andrés Linares","res_country_state_municipalities_318"
"Parroquia Chiquinquirá","res_country_state_municipalities_318"
"Parroquia Cristóbal Mendoza","res_country_state_municipalities_318"
"Parroquia Cruz Carrillo","res_country_state_municipalities_318"
"Parroquia Matriz","res_country_state_municipalities_318"
"Parroquia Monseñor Carrillo","res_country_state_municipalities_318"
"Parroquia Tres Esquinas","res_country_state_municipalities_318"
"Parroquia La Quebrada","res_country_state_municipalities_319"
"Parroquia Cabimbú","res_country_state_municipalities_319"
"Parroquia Jajó","res_country_state_municipalities_319"
"Parroquia La Mesa","res_country_state_municipalities_319"
"Parroquia Santiago","res_country_state_municipalities_319"
"Parroquia Tuñame","res_country_state_municipalities_319"
"Parroquia Juan Ignacio Montilla","res_country_state_municipalities_320"
"Parroquia La Beatriz","res_country_state_municipalities_320"
"Parroquia Mercedes Díaz","res_country_state_municipalities_320"
"Parroquia San Luis","res_country_state_municipalities_320"
"Parroquia La Puerta","res_country_state_municipalities_320"
"Parroquia Mendoza","res_country_state_municipalities_320"
"Parroquia Caraballeda","res_country_state_municipalities_200"
"Parroquia Carayaca","res_country_state_municipalities_200"
"Parroquia Caruao","res_country_state_municipalities_200"
"Parroquia Catia La Mar","res_country_state_municipalities_200"
"Parroquia El Junko","res_country_state_municipalities_200"
"Parroquia La Guaira","res_country_state_municipalities_200"
"Parroquia Macuto","res_country_state_municipalities_200"
"Parroquia Maiquetía","res_country_state_municipalities_200"
"Parroquia Naiguatá","res_country_state_municipalities_200"
"Parroquia Urimare ","res_country_state_municipalities_200"
"Parroquia Carlos Soublette ","res_country_state_municipalities_200"
"Parroquia Capital Bruzual ","res_country_state_municipalities_403"
"Parroquia Campo Elías","res_country_state_municipalities_403"
"Parroquia Capital Nirgua ","res_country_state_municipalities_409"
"Parroquia Salom","res_country_state_municipalities_409"
"Parroquia Temerla","res_country_state_municipalities_409"
"Parroquia Capital Peña ","res_country_state_municipalities_410"
"Parroquia San Andrés","res_country_state_municipalities_410"
"Parroquia Capital San Felipe ","res_country_state_municipalities_411"
"Parroquia Albarico","res_country_state_municipalities_411"
"Parroquia San Javier","res_country_state_municipalities_411"
"Parroquia Capital Veroes ","res_country_state_municipalities_414"
"Parroquia El Guayabo","res_country_state_municipalities_414"
"Parroquia Isla de Toas","res_country_state_municipalities_501"
"Parroquia Monagas","res_country_state_municipalities_501"
"Parroquia San Timoteo","res_country_state_municipalities_502"
"Parroquia General Urdaneta","res_country_state_municipalities_502"
"Parroquia Libertador","res_country_state_municipalities_502"
"Parroquia Manuel Guanipa Matos","res_country_state_municipalities_502"
